scenario_id,description,location,utility_budget,appliance_age_type,housing_type,occupants,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,kwh_per_cycle,peak_rate,offpeak_rate,appliance,mavt_score,rank
0,It's late (around 2 AM) and I need to run the dishwasher. Should I do it now or wait?,"Philadelphia, PA",200,7,Apartment,3,2:00 AM,8.8,7.82,7.83,8.26,1.4,0.19,0.09,dishwasher,8.182,1
0,It's late (around 2 AM) and I need to run the dishwasher. Should I do it now or wait?,"Philadelphia, PA",200,7,Apartment,3,3:00 PM,7.2,7.82,1.71,3.83,1.4,0.19,0.09,dishwasher,5.8135,3
0,It's late (around 2 AM) and I need to run the dishwasher. Should I do it now or wait?,"Philadelphia, PA",200,7,Apartment,3,7:00 PM,8.8,7.82,1.33,3.83,1.4,0.19,0.09,dishwasher,6.2175,2
1,It's late (around midnight) and I need to run the dishwasher. Should I do it now or wait?,"Lancaster, PA",200,2,Single-family,4,12:00 AM,8.64,7.82,8.9,8.26,1.4,0.19,0.1,dishwasher,8.348,1
1,It's late (around midnight) and I need to run the dishwasher. Should I do it now or wait?,"Lancaster, PA",200,2,Single-family,4,7:00 PM,8.64,7.82,1.14,3.83,1.4,0.19,0.1,dishwasher,6.1315,2
1,It's late (around midnight) and I need to run the dishwasher. Should I do it now or wait?,"Lancaster, PA",200,2,Single-family,4,2:00 PM,7.2,7.82,1.62,3.83,1.4,0.19,0.1,dishwasher,5.7955,3
2,It's late (around 10 PM) and I need to run the dishwasher. Should I do it now or wait?,"Pittsburgh, PA",120,10,Apartment,2,10:00 PM,9.36,8.6,7.83,9.16,0.95,0.17,0.08,dishwasher,8.758,1
2,It's late (around 10 PM) and I need to run the dishwasher. Should I do it now or wait?,"Pittsburgh, PA",120,10,Apartment,2,3:00 PM,8.39,8.6,2.86,3.83,0.95,0.17,0.08,dishwasher,6.6735,3
2,It's late (around 10 PM) and I need to run the dishwasher. Should I do it now or wait?,"Pittsburgh, PA",120,10,Apartment,2,2:00 PM,8.39,8.6,2.86,3.83,0.95,0.17,0.08,dishwasher,6.6735,2
3,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",200,7,Townhouse,3,2:00 PM,8.1,8.34,10,10,1.1,0.17,0.09,dishwasher,8.849,1
3,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",200,7,Townhouse,3,9:00 PM,9.1,8.34,6.6,3.88,1.1,0.17,0.09,dishwasher,7.551,3
3,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",200,7,Townhouse,3,4:00 PM,8.1,8.34,8.51,8.13,1.1,0.17,0.09,dishwasher,8.2705,2
4,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Allentown, PA",150,2,Single-family,2,5:00 PM,7.53,8.08,10,10,1.25,0.19,0.08,dishwasher,8.587,1
4,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Allentown, PA",150,2,Single-family,2,7:00 PM,9.09,8.08,8.6,8.26,1.25,0.19,0.08,dishwasher,8.514,2
4,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Allentown, PA",150,2,Single-family,2,4:00 PM,7.53,8.08,2.86,3.83,1.25,0.19,0.08,dishwasher,6.2335,3
