scenario_id,question,location,decision_type,alternative,energy_cost,environmental,comfort,practicality,rank,weighted_score
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,67,5.0,5.0,8.6,7.3,3,6.0649999999999995
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,70,5.3,5.3,8.6,7.3,1,6.259999999999999
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,73,5.3,5.3,8.6,7.3,2,6.259999999999999
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,72,4.1,4.1,5.7,8.7,3,5.109999999999999
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,75,4.3,4.3,9.3,9.6,1,6.095000000000001
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,79,4.8,4.8,5.9,9.6,2,5.74
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,68,8.3,8.3,8.6,7.3,1,8.21
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,71,7.8,7.8,9.5,7.3,2,8.065000000000001
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,74,7.8,7.8,9.5,7.3,3,8.065000000000001
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,75,6.5,6.5,9.0,10.0,1,7.5249999999999995
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,78,6.0,6.0,8.0,9.0,2,6.85
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,81,6.0,6.0,8.0,9.0,3,6.85
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,67,4.8,4.8,7.5,7.3,3,5.715
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,70,5.0,5.0,8.6,7.3,1,6.0649999999999995
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,73,4.8,4.8,8.6,7.3,2,5.935
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,76,4.7,4.7,8.8,9.2,1,6.194999999999999
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,79,4.8,4.8,7.5,9.5,2,6.045
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,82,4.8,4.8,6.8,9.2,3,5.86
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,66,6.5,6.5,4.5,8.0,3,6.325
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,69,6.5,6.5,7.8,8.5,2,7.0600000000000005
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,72,6.5,6.5,8.0,9.0,1,7.174999999999999
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,76,2.0,2.0,7.6,9.6,1,4.26
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,79,2.0,2.0,7.6,9.6,2,4.26
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,82,2.8,2.8,3.9,9.6,3,4.039999999999999
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,66,0.0,0.0,0.0,7.3,1,1.095
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,69,0.0,0.0,0.0,7.3,2,1.095
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,72,0.0,0.0,0.0,7.3,3,1.095
10,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",HVAC,73,8.2,8.2,7.8,9.6,3,8.329999999999998
10,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",HVAC,76,8.3,8.3,9.3,9.6,1,8.695
10,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",HVAC,79,8.0,8.0,8.5,9.6,2,8.34
