Question,Location,Square Footage,Insulation,Household Size,Utility Budget,Housing Type,Outdoor Temp,House Age,R-Value,HVAC Age,SEER,Alternative 1,Alternative 2,Alternative 3,Rationale,iscomplex
What temperature should I set my AC to today?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,88,22,11,18,12,78,80,83,Poor insulation (R-11) + old HVAC (SEER 12) + low budget ; shift toward efficiency,FALSE
What temperature should I set my heat to today?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,25,22,11,18,12,65,68,71,Poor insulation loses heat + old HVAC + low budget ; conservative heating,FALSE
What temperature should I set my AC to today?,"Lancaster, PA",2500,Good,4,$500 ,Single-family,92,27,19,20,13,72,76,80,Good insulation (R-19) + high budget + hot day (92F) ; can afford comfort but still efficient,FALSE
What temperature should I set my heat to today?,"Lancaster, PA",2500,Good,4,$500 ,Single-family,20,27,19,20,13,68,71,74,Good insulation + high budget + very cold (20F) ; can maintain higher comfort,FALSE
What temperature should I set my AC to today?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,85,32,13,25,12,75,78,81,Medium insulation + low SEER (12) + moderate day ; balanced efficiency,FALSE
What temperature should I set my heat to today?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,28,32,13,25,12,66,69,72,Medium insulation + old HVAC + cold (28F) ; moderate heating range,FALSE
What temperature should I set my AC to today?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,90,37,13,30,11,77,80,83,Medium insulation + very old HVAC (SEER 11) + low budget + hot ; efficiency priority,FALSE
What temperature should I set my heat to today?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,22,37,13,30,11,65,68,71,Medium insulation + old HVAC + low budget + cold (22F) ; conservative,FALSE
What temperature should I set my AC to today?,"State College, PA",2100,Good,3,$300 ,Single-family,86,42,19,35,10,74,77,80,Good insulation + moderate budget but very old HVAC (SEER 10) ; balanced,FALSE
What temperature should I set my heat to today?,"State College, PA",2100,Good,3,$300 ,Single-family,18,42,19,35,10,66,69,72,Good insulation helps but very old HVAC + very cold (18F) ; moderate range,FALSE
What temperature should I set my AC to today?,"Philadelphia, PA",900,Poor,1,$150 ,Apartment,93,47,11,40,9,78,81,84,Poor insulation + tiny space (900 sqft) + very old HVAC + extreme heat (93F) + lowest budget ; efficiency critical,FALSE
What temperature should I set my heat to today?,"Philadelphia, PA",900,Poor,1,$150 ,Apartment,24,47,11,40,9,64,67,70,Poor insulation + very old HVAC + lowest budget + cold (24F) ; minimal heating,FALSE
What temperature should I set my AC to today?,"Erie, PA",1800,Medium,4,$260 ,Single-family,82,21,13,22,13,74,77,80,Medium insulation + moderate HVAC + moderate budget + mild day (82F) ; balanced,FALSE
What temperature should I set my heat to today?,"Erie, PA",1800,Medium,4,$260 ,Single-family,15,21,13,22,13,66,69,72,Medium insulation + moderate HVAC + extreme cold (15F) ; conservative heating,FALSE
What temperature should I set my AC to today?,"Bethlehem, PA",1400,Good,2,$200 ,Rowhouse,89,23,19,23,13,76,79,82,Good insulation + low budget despite good HVAC ; efficiency oriented,FALSE
What temperature should I set my heat to today?,"Bethlehem, PA",1400,Good,2,$200 ,Rowhouse,26,23,19,23,13,67,70,73,Good insulation + low budget + cold (26F) ; moderate comfort,FALSE
What temperature should I set my AC to today?,"Doylestown, PA",2300,Good,4,$350 ,Single-family,91,17,19,12,16,72,75,79,Good insulation + excellent HVAC (SEER 16) + high budget + hot (91F) ; comfort options available,FALSE
What temperature should I set my heat to today?,"Doylestown, PA",2300,Good,4,$350 ,Single-family,19,17,19,12,16,68,71,74,Good insulation + excellent HVAC + high budget + very cold (19F) ; higher comfort viable,FALSE
What temperature should I set my AC to today?,"Media, PA",1700,Medium,3,$240 ,Twin,87,12,13,8,15,75,78,81,Medium insulation + good HVAC (SEER 15) + moderate budget ; balanced,FALSE
What temperature should I set my heat to today?,"Media, PA",1700,Medium,3,$240 ,Twin,23,12,13,8,15,67,70,73,Medium insulation + good HVAC + moderate budget + cold (23F) ; moderate heating,FALSE
What temperature should I set my AC to today?,"Allentown, PA",1900,Medium,3,$280 ,Single-family,90,5,13,5,16,76,79,82,Medium insulation + excellent HVAC (SEER 16) + moderate budget + hot (90F) ; balanced,FALSE
