Scenario_ID,Alternative_ID,Decision_Type,Alternative_Description,Practicality,Comfort,Environmental_Impact,Energy_Cost
1,1,HVAC,67,6.9,5.7,6.4,7.3
1,2,HVAC,70,6.5,7.4,4.9,5.6
1,3,HVAC,73,7.4,6.1,2.9,4.4
2,1,HVAC,72,6.7,6.2,3.6,4.3
2,2,HVAC,75,6.8,6.8,5.4,5.7
2,3,HVAC,79,7.0,6.1,6.5,7.5
3,1,HVAC,68,6.8,5.0,5.4,6.2
3,2,HVAC,71,7.5,6.3,3.8,5.4
3,3,HVAC,74,6.9,5.2,2.8,4.1
4,1,HVAC,75,7.3,7.2,4.6,5.0
4,2,HVAC,78,7.0,6.4,5.9,7.4
4,3,HVAC,81,6.0,5.7,8.0,8.0
5,1,HVAC,67,7.5,5.0,6.6,6.5
5,2,HVAC,70,6.4,7.6,4.9,5.2
5,3,HVAC,73,7.9,6.1,2.7,3.8
6,1,HVAC,76,7.5,7.2,5.6,5.6
6,2,HVAC,79,7.1,5.5,6.5,7.5
6,3,HVAC,82,7.2,4.5,8.2,9.3
7,1,HVAC,66,8.2,5.3,7.1,7.7
7,2,HVAC,69,8.0,6.9,4.9,6.5
7,3,HVAC,72,8.2,6.1,3.4,4.0
8,1,HVAC,76,8.3,7.8,5.3,4.2
8,2,HVAC,79,7.6,5.7,7.0,7.4
8,3,HVAC,82,6.1,5.2,7.6,8.5
9,1,HVAC,66,7.2,5.3,6.7,7.1
9,2,HVAC,69,8.2,7.1,4.2,5.8
9,3,HVAC,72,7.5,7.2,3.5,3.2
10,1,HVAC,73,7.7,6.4,4.0,4.7
10,2,HVAC,76,6.6,7.4,5.3,6.8
10,3,HVAC,79,6.7,5.8,7.2,7.3
11,1,HVAC,68,7.6,5.8,6.1,6.7
11,2,HVAC,71,7.0,7.5,4.5,5.2
11,3,HVAC,74,7.7,5.3,2.7,4.7
12,1,HVAC,78,7.4,7.2,6.1,6.1
12,2,HVAC,81,7.0,4.1,7.4,8.4
12,3,HVAC,84,5.5,2.3,8.9,9.1
13,1,HVAC,65,6.2,3.3,6.7,8.1
13,2,HVAC,68,7.9,6.0,5.7,5.9
13,3,HVAC,71,7.3,6.9,2.9,5.3
14,1,HVAC,76,7.2,7.4,5.3,6.4
14,2,HVAC,79,7.8,6.2,6.4,6.7
14,3,HVAC,82,6.1,4.6,8.9,7.3
15,1,HVAC,66,7.5,4.7,8.0,7.3
15,2,HVAC,69,6.2,6.6,5.4,6.0
15,3,HVAC,72,7.4,5.5,4.0,4.3
16,1,HVAC,75,6.6,7.0,5.7,5.8
16,2,HVAC,78,7.3,5.9,6.3,6.2
16,3,HVAC,81,6.6,4.8,7.3,7.3
17,1,HVAC,66,6.7,4.0,6.8,6.9
17,2,HVAC,69,7.6,7.4,4.7,5.5
17,3,HVAC,72,7.2,6.8,4.7,4.5
18,1,HVAC,78,7.7,6.7,6.9,6.0
