scenario_id,question,location,outdoor_temp,electricity_rate,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,raw_kwh,raw_cost,raw_emissions
0,What temperature should I set my AC to today?,"Chester Springs, PA",88,0.14,78,7.6,7.57,8.6,9.41,8.23,1.15,5.41
0,What temperature should I set my AC to today?,"Chester Springs, PA",88,0.14,80,7.84,7.82,6.11,10,7.73,1.08,5.08
0,What temperature should I set my AC to today?,"Chester Springs, PA",88,0.14,83,8.21,8.19,2.86,8.82,6.99,0.98,4.6
1,What temperature should I set my heat to today?,"Chester Springs, PA",25,0.14,65,7.02,6.99,4.06,6.47,9.4,1.32,6.18
1,What temperature should I set my heat to today?,"Chester Springs, PA",25,0.14,68,6.64,6.61,8.6,6.47,10.17,1.42,6.69
1,What temperature should I set my heat to today?,"Chester Springs, PA",25,0.14,71,6.26,6.23,9.32,6.47,10.94,1.53,7.19
2,What temperature should I set my AC to today?,"Lancaster, PA",92,0.14,72,6.28,6.25,5.73,8.24,10.9,1.53,7.17
2,What temperature should I set my AC to today?,"Lancaster, PA",92,0.14,76,6.65,6.62,10,9.41,10.16,1.42,6.68
2,What temperature should I set my AC to today?,"Lancaster, PA",92,0.14,80,7.02,6.99,5.73,9.41,9.41,1.32,6.19
3,What temperature should I set my heat to today?,"Lancaster, PA",20,0.14,68,7.47,7.45,8.46,6.47,8.48,1.19,5.58
3,What temperature should I set my heat to today?,"Lancaster, PA",20,0.14,71,7.19,7.16,9.25,6.47,9.07,1.27,5.96
3,What temperature should I set my heat to today?,"Lancaster, PA",20,0.14,74,6.9,6.87,6.65,6.47,9.65,1.35,6.34
4,What temperature should I set my AC to today?,"Pittsburgh, PA",85,0.14,75,7.16,7.13,9.32,9.41,9.13,1.28,6
4,What temperature should I set my AC to today?,"Pittsburgh, PA",85,0.14,78,7.52,7.49,8.6,10,8.39,1.17,5.52
4,What temperature should I set my AC to today?,"Pittsburgh, PA",85,0.14,81,7.88,7.86,5.13,10,7.65,1.07,5.03
5,What temperature should I set my heat to today?,"Pittsburgh, PA",28,0.14,66,7.32,7.29,5.13,6.47,8.79,1.23,5.78
5,What temperature should I set my heat to today?,"Pittsburgh, PA",28,0.14,69,6.94,6.91,9.32,6.47,9.56,1.34,6.29
5,What temperature should I set my heat to today?,"Pittsburgh, PA",28,0.14,72,6.56,6.53,8.6,6.47,10.33,1.45,6.79
6,What temperature should I set my AC to today?,"West Chester, PA",90,0.14,77,7.13,7.1,9.32,9.41,9.17,1.28,6.03
6,What temperature should I set my AC to today?,"West Chester, PA",90,0.14,80,7.46,7.44,6.11,9.41,8.5,1.19,5.59
6,What temperature should I set my AC to today?,"West Chester, PA",90,0.14,83,7.79,7.77,2.86,8.82,7.83,1.1,5.15
7,What temperature should I set my heat to today?,"West Chester, PA",22,0.14,65,7.25,7.23,4.06,6.47,8.93,1.25,5.87
7,What temperature should I set my heat to today?,"West Chester, PA",22,0.14,68,6.91,6.88,8.6,6.47,9.62,1.35,6.33
7,What temperature should I set my heat to today?,"West Chester, PA",22,0.14,71,6.57,6.53,9.32,6.47,10.32,1.45,6.79
8,What temperature should I set my AC to today?,"State College, PA",86,0.14,74,5.86,5.82,8.6,9.41,11.76,1.65,7.73
8,What temperature should I set my AC to today?,"State College, PA",86,0.14,77,6.2,6.16,9.32,10,11.07,1.55,7.28
8,What temperature should I set my AC to today?,"State College, PA",86,0.14,80,6.54,6.5,6.11,10,10.39,1.45,6.83
9,What temperature should I set my heat to today?,"State College, PA",18,0.14,66,6.61,6.58,5.13,6.47,10.23,1.43,6.72
9,What temperature should I set my heat to today?,"State College, PA",18,0.14,69,6.26,6.23,9.32,6.47,10.94,1.53,7.19
9,What temperature should I set my heat to today?,"State College, PA",18,0.14,72,5.91,5.87,8.6,6.47,11.66,1.63,7.66
10,What temperature should I set my AC to today?,"Philadelphia, PA",93,0.14,78,7.62,7.59,8.6,9.41,8.19,1.15,5.39
10,What temperature should I set my AC to today?,"Philadelphia, PA",93,0.14,81,7.9,7.88,5.13,9.41,7.61,1.07,5
10,What temperature should I set my AC to today?,"Philadelphia, PA",93,0.14,84,8.19,8.17,1.53,7.65,7.02,0.98,4.62
11,What temperature should I set my heat to today?,"Philadelphia, PA",24,0.14,64,8.34,8.32,2.86,6.47,6.72,0.94,4.42
11,What temperature should I set my heat to today?,"Philadelphia, PA",24,0.14,67,8.04,8.02,6.11,6.47,7.33,1.03,4.82
11,What temperature should I set my heat to today?,"Philadelphia, PA",24,0.14,70,7.74,7.71,10,6.47,7.95,1.11,5.22
12,What temperature should I set my AC to today?,"Erie, PA",82,0.14,74,8.16,8.14,8.46,10,7.09,0.99,4.66
12,What temperature should I set my AC to today?,"Erie, PA",82,0.14,77,8.46,8.43,9.25,10,6.49,0.91,4.27
12,What temperature should I set my AC to today?,"Erie, PA",82,0.14,80,8.75,8.73,6.65,10,5.89,0.82,3.87
13,What temperature should I set my heat to today?,"Erie, PA",15,0.14,66,6.85,6.82,4.71,6.47,9.75,1.36,6.41
13,What temperature should I set my heat to today?,"Erie, PA",15,0.14,69,6.54,6.51,9.25,6.47,10.37,1.45,6.82
13,What temperature should I set my heat to today?,"Erie, PA",15,0.14,72,6.24,6.2,8.46,6.47,10.99,1.54,7.23
14,What temperature should I set my AC to today?,"Bethlehem, PA",89,0.14,76,8.75,8.73,10,9.41,5.89,0.82,3.87
14,What temperature should I set my AC to today?,"Bethlehem, PA",89,0.14,79,8.91,8.89,7.83,9.41,5.57,0.78,3.66
14,What temperature should I set my AC to today?,"Bethlehem, PA",89,0.14,82,9.07,9.05,4.06,10,5.25,0.73,3.45
15,What temperature should I set my heat to today?,"Bethlehem, PA",26,0.14,67,9.83,9.81,6.11,6.47,3.71,0.52,2.44
15,What temperature should I set my heat to today?,"Bethlehem, PA",26,0.14,70,9.66,9.65,10,6.47,4.04,0.57,2.66
15,What temperature should I set my heat to today?,"Bethlehem, PA",26,0.14,73,9.5,9.48,7.83,6.47,4.38,0.61,2.88
16,What temperature should I set my AC to today?,"Doylestown, PA",91,0.14,72,7.94,7.92,5.73,9.41,7.53,1.05,4.95
16,What temperature should I set my AC to today?,"Doylestown, PA",91,0.14,75,8.14,8.11,9.25,9.41,7.14,1,4.69
16,What temperature should I set my AC to today?,"Doylestown, PA",91,0.14,79,8.39,8.37,7.59,9.41,6.62,0.93,4.35
17,What temperature should I set my heat to today?,"Doylestown, PA",19,0.14,68,8.7,8.68,8.46,6.47,6,0.84,3.95
17,What temperature should I set my heat to today?,"Doylestown, PA",19,0.14,71,8.5,8.47,9.25,6.47,6.41,0.9,4.21
17,What temperature should I set my heat to today?,"Doylestown, PA",19,0.14,74,8.29,8.27,6.65,6.47,6.82,0.95,4.48
