scenario_id,decision_type,question,location,outdoor_temp,alternative,energy_cost,environmental,comfort,practicality,rank,weighted_score
1,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",26,67,7,7,8,9,1,7.5
1,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",26,70,6,6,7,8,2,6.5
1,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",26,73,5,5,7,8,3,5.85
2,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",91,72,5,5,7,8,2,5.85
2,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",91,75,5,4,7,8,3,5.5
2,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",91,79,6,6,8,7,1,6.55
3,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",19,68,3,3,8,7,3,4.6
3,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",19,71,4,3,8,7,2,4.9
3,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",19,74,5,4,8,7,1,5.55
4,HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",87,75,5,5,7,8,2,5.85
4,HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",87,78,5,5,7,8,1,5.85
4,HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",87,81,5,5,6,7,3,5.5
5,HVAC,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",23,67,5,5,7,8,3,5.85
5,HVAC,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",23,70,7,7,8,9,1,7.5
5,HVAC,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",23,73,6,6,8,7,2,6.55
6,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",90,76,5,5,7,8,3,5.85
6,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",90,79,6,5,7,8,2,6.15
6,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",90,82,6,5,8,7,1,6.2
