scenario_id,question,location,square_footage,insulation,household_size,utility_budget,housing_type,outdoor_temp,house_age,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_kwh,raw_cost,raw_emissions
0,The house will be empty for 8 hours today. What AC temperature should I set?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,88,22,78,5.9,5.9,8.6,9.59,6.9935,1,8.61,1.64,5.56
0,The house will be empty for 8 hours today. What AC temperature should I set?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,88,22,80,6.24,6.24,6.11,10,6.778,2,8.09,1.54,5.22
0,The house will be empty for 8 hours today. What AC temperature should I set?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,88,22,83,6.76,6.76,2.86,8.72,6.274,3,7.31,1.39,4.72
1,The house will be empty for 8 hours today. What heat setting should I use?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,25,22,65,5.08,5.08,4.06,7.29,5.2075,3,9.83,1.87,6.35
1,The house will be empty for 8 hours today. What heat setting should I use?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,25,22,68,4.54,4.54,8.6,7.29,5.7645,1,10.64,2.02,6.87
1,The house will be empty for 8 hours today. What heat setting should I use?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,25,22,71,3.99,4,9.32,7.29,5.5545,2,11.45,2.18,7.39
2,"With 4 people home on a hot day, what's the best AC setting?","Lancaster, PA",2500,Good,4,$500 ,Single-family,92,27,72,4.06,4.06,5.73,8.72,5.093,3,11.36,2.16,7.34
2,"With 4 people home on a hot day, what's the best AC setting?","Lancaster, PA",2500,Good,4,$500 ,Single-family,92,27,76,4.58,4.58,10,9.59,6.4155,1,10.58,2.01,6.83
2,"With 4 people home on a hot day, what's the best AC setting?","Lancaster, PA",2500,Good,4,$500 ,Single-family,92,27,80,5.1,5.1,5.73,9.59,5.8995,2,9.8,1.86,6.33
3,Cold day today with 4 people home. What's a good heating temperature?,"Lancaster, PA",2500,Good,4,$500 ,Single-family,20,27,68,5.74,5.74,8.46,7.29,6.5165,1,8.84,1.68,5.71
3,Cold day today with 4 people home. What's a good heating temperature?,"Lancaster, PA",2500,Good,4,$500 ,Single-family,20,27,71,5.34,5.34,9.25,7.29,6.4145,2,9.44,1.79,6.1
3,Cold day today with 4 people home. What's a good heating temperature?,"Lancaster, PA",2500,Good,4,$500 ,Single-family,20,27,74,4.93,4.93,6.65,7.29,5.628,3,10.05,1.91,6.49
4,The house will be empty for 4 hours today. What AC temperature should I set?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,85,32,75,5.35,5.35,9.32,9.59,6.78,2,9.42,1.79,6.09
4,The house will be empty for 4 hours today. What AC temperature should I set?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,85,32,78,5.86,5.86,8.6,10,7.029,1,8.66,1.65,5.59
4,The house will be empty for 4 hours today. What AC temperature should I set?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,85,32,81,6.37,6.37,5.13,10,6.6665,3,7.9,1.5,5.1
5,The house will be empty for 4 hours today. What heat setting should I use?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,28,32,66,5.58,5.58,5.13,7.29,5.7465,3,9.07,1.72,5.86
5,The house will be empty for 4 hours today. What heat setting should I use?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,28,32,69,5.05,5.05,9.32,7.29,6.24,1,9.87,1.88,6.37
5,The house will be empty for 4 hours today. What heat setting should I use?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,28,32,72,4.52,4.52,8.6,7.29,5.7515,2,10.66,2.03,6.89
6,Someone's home all day and it's hot outside. What should I set the AC to?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,90,37,77,5.36,5.36,9.32,9.59,6.7865,1,9.41,1.79,6.07
6,Someone's home all day and it's hot outside. What should I set the AC to?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,90,37,80,5.82,5.82,6.11,9.59,6.4435,2,8.72,1.66,5.63
6,Someone's home all day and it's hot outside. What should I set the AC to?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,90,37,83,6.28,6.28,2.86,8.72,5.962,3,8.03,1.53,5.19
7,Someone's home all day and it's cold. What heating temperature should I use?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,22,37,65,5.53,5.53,4.06,7.29,5.5,3,9.16,1.74,5.91
7,Someone's home all day and it's cold. What heating temperature should I use?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,22,37,68,5.05,5.05,8.6,7.29,6.096,1,9.87,1.88,6.38
7,Someone's home all day and it's cold. What heating temperature should I use?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,22,37,71,4.57,4.57,9.32,7.29,5.928,2,10.59,2.01,6.84
8,The house is unoccupied for 8 hours today. What's the best AC temperature?,"State College, PA",2100,Good,3,$300 ,Single-family,86,42,74,3.62,3.62,8.6,9.59,5.5115,3,12.02,2.28,7.76
