scenario_id,question,location,decision_type,calculator,extraction_failed,gt_calculation_failed,alternative,energy_cost,environmental,comfort,practicality,rank,weighted_score
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,HVACGroundTruthCalculator,False,False,67,7.98,7.98,6.11,7.29,2,7.5025
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,HVACGroundTruthCalculator,False,False,70,7.67,7.67,10.0,7.29,1,8.079
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,HVACGroundTruthCalculator,False,False,73,7.36,7.37,7.83,7.29,3,7.446999999999999
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,HVACGroundTruthCalculator,False,False,72,3.93,3.93,5.73,9.59,3,5.138999999999999
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,HVACGroundTruthCalculator,False,False,75,4.44,4.44,9.25,9.59,2,6.1745
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,HVACGroundTruthCalculator,False,False,79,5.12,5.12,7.59,9.59,1,6.2844999999999995
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,HVACGroundTruthCalculator,False,False,68,6.31,6.31,8.46,7.29,1,6.887
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,HVACGroundTruthCalculator,False,False,71,5.94,5.94,9.25,7.29,2,6.8045
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,HVACGroundTruthCalculator,False,False,74,5.58,5.58,6.65,7.29,3,6.0504999999999995
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,HVACGroundTruthCalculator,False,False,75,6.82,6.82,9.32,9.59,2,7.7355
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,HVACGroundTruthCalculator,False,False,78,7.18,7.19,8.6,10.0,1,7.8905
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,HVACGroundTruthCalculator,False,False,81,7.55,7.55,5.13,10.0,3,7.433499999999999
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,HVACGroundTruthCalculator,False,False,67,6.99,6.99,6.11,7.29,2,6.859
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,HVACGroundTruthCalculator,False,False,70,6.64,6.64,10.0,7.29,1,7.4094999999999995
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,HVACGroundTruthCalculator,False,False,73,6.29,6.29,7.83,7.29,3,6.747999999999999
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,HVACGroundTruthCalculator,False,False,76,6.87,6.87,10.0,9.59,1,7.904
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,HVACGroundTruthCalculator,False,False,79,7.21,7.22,7.83,9.59,2,7.6945
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,HVACGroundTruthCalculator,False,False,82,7.56,7.56,4.06,10.0,3,7.226
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,HVACGroundTruthCalculator,False,False,66,6.69,6.69,5.13,7.29,3,6.467999999999999
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,HVACGroundTruthCalculator,False,False,69,6.33,6.33,9.32,7.29,1,7.071999999999999
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,HVACGroundTruthCalculator,False,False,72,5.97,5.97,8.6,7.29,2,6.693999999999999
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,HVACGroundTruthCalculator,False,False,76,5.07,5.07,10.0,9.59,1,6.734
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,HVACGroundTruthCalculator,False,False,79,5.52,5.52,7.34,9.59,2,6.494499999999999
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,HVACGroundTruthCalculator,False,False,82,5.96,5.96,2.61,9.59,3,5.8345
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,HVACGroundTruthCalculator,False,False,66,4.49,4.49,4.28,7.29,3,4.867999999999999
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,HVACGroundTruthCalculator,False,False,69,4.03,4.03,9.18,7.29,1,5.549
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,HVACGroundTruthCalculator,False,False,72,3.56,3.56,8.3,7.29,2,5.0675
10,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",HVAC,HVACGroundTruthCalculator,False,False,73,6.79,6.79,7.59,9.59,3,7.369999999999999
10,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",HVAC,HVACGroundTruthCalculator,False,False,76,6.98,6.99,10.0,9.59,1,7.978999999999999
10,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",HVAC,HVACGroundTruthCalculator,False,False,79,7.18,7.18,7.59,10.0,2,7.685
11,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",HVAC,HVACGroundTruthCalculator,False,False,68,7.44,7.44,8.46,7.29,1,7.6215
11,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",HVAC,HVACGroundTruthCalculator,False,False,71,7.14,7.14,9.25,7.29,2,7.584499999999999
11,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",HVAC,HVACGroundTruthCalculator,False,False,74,6.84,6.84,6.65,7.29,3,6.8694999999999995
12,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",HVAC,HVACGroundTruthCalculator,False,False,78,7.9,7.9,8.6,9.59,1,8.2935
12,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",HVAC,HVACGroundTruthCalculator,False,False,81,8.16,8.17,5.13,9.59,2,7.7719999999999985
12,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",HVAC,HVACGroundTruthCalculator,False,False,84,8.43,8.43,1.53,7.29,3,6.879
13,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",HVAC,HVACGroundTruthCalculator,False,False,65,7.96,7.96,4.06,7.29,3,7.0794999999999995
13,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",HVAC,HVACGroundTruthCalculator,False,False,68,7.68,7.68,8.6,7.29,1,7.8054999999999986
13,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",HVAC,HVACGroundTruthCalculator,False,False,71,7.4,7.4,9.32,7.29,2,7.7675
14,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",HVAC,HVACGroundTruthCalculator,False,False,76,6.84,6.84,10.0,9.59,1,7.884499999999999
14,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",HVAC,HVACGroundTruthCalculator,False,False,79,7.2,7.2,7.83,9.59,2,7.6845
14,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",HVAC,HVACGroundTruthCalculator,False,False,82,7.56,7.56,4.06,10.0,3,7.226
15,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",HVAC,HVACGroundTruthCalculator,False,False,66,6.79,6.79,5.13,7.29,3,6.5329999999999995
15,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",HVAC,HVACGroundTruthCalculator,False,False,69,6.4,6.41,9.32,7.29,1,7.1209999999999996
15,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",HVAC,HVACGroundTruthCalculator,False,False,72,6.02,6.02,8.6,7.29,2,6.726499999999999
