scenario_id,description,location,utility_budget,appliance,appliance_age_type,housing_type,occupants,kwh_per_cycle,peak_rate,offpeak_rate,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_cost,raw_emissions
0,It's late (around 2 AM) and I need to run the dishwasher. Should I do it now or wait?,"Philadelphia, PA",200,dishwasher,7,Apartment,3,1.4,0.19,0.09,2:00 AM,8.8,7.82,7.83,8.26,8.182,1,0.126,0.904
0,It's late (around 2 AM) and I need to run the dishwasher. Should I do it now or wait?,"Philadelphia, PA",200,dishwasher,7,Apartment,3,1.4,0.19,0.09,3:00 PM,7.2,7.82,1.71,3.83,5.8135,3,0.266,0.904
0,It's late (around 2 AM) and I need to run the dishwasher. Should I do it now or wait?,"Philadelphia, PA",200,dishwasher,7,Apartment,3,1.4,0.19,0.09,7:00 PM,8.8,7.82,1.33,3.83,6.2175,2,0.126,0.904
1,It's late (around midnight) and I need to run the dishwasher. Should I do it now or wait?,"Lancaster, PA",200,dishwasher,2,Single-family,4,1.4,0.19,0.1,12:00 AM,8.64,7.82,8.9,8.26,8.348,1,0.14,0.904
1,It's late (around midnight) and I need to run the dishwasher. Should I do it now or wait?,"Lancaster, PA",200,dishwasher,2,Single-family,4,1.4,0.19,0.1,7:00 PM,8.64,7.82,1.14,3.83,6.1315,2,0.14,0.904
1,It's late (around midnight) and I need to run the dishwasher. Should I do it now or wait?,"Lancaster, PA",200,dishwasher,2,Single-family,4,1.4,0.19,0.1,2:00 PM,7.2,7.82,1.62,3.83,5.7955,3,0.266,0.904
2,It's late (around 10 PM) and I need to run the dishwasher. Should I do it now or wait?,"Pittsburgh, PA",120,dishwasher,10,Apartment,2,0.95,0.17,0.08,10:00 PM,9.36,8.6,7.83,9.16,8.758,1,0.076,0.614
2,It's late (around 10 PM) and I need to run the dishwasher. Should I do it now or wait?,"Pittsburgh, PA",120,dishwasher,10,Apartment,2,0.95,0.17,0.08,3:00 PM,8.39,8.6,2.86,3.83,6.6735,3,0.1615,0.614
2,It's late (around 10 PM) and I need to run the dishwasher. Should I do it now or wait?,"Pittsburgh, PA",120,dishwasher,10,Apartment,2,0.95,0.17,0.08,2:00 PM,8.39,8.6,2.86,3.83,6.6735,2,0.1615,0.614
3,I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",200,dishwasher,7,Townhouse,3,1.1,0.17,0.09,2:00 PM,8.1,8.34,10,10,8.849,1,0.187,0.71
