Scenario_ID,Alternative_ID,Decision_Type,Alternative_Description,Practicality,Comfort,Environmental_Impact,Energy_Cost
1,1,HVAC,67,7.2,5.2,6.0,7.4
1,2,HVAC,70,6.9,7.6,5.2,6.1
1,3,HVAC,73,7.7,7.5,2.9,4.6
2,1,HVAC,72,6.8,5.6,3.8,5.0
2,2,HVAC,75,6.9,6.3,5.1,6.4
2,3,HVAC,79,7.2,5.6,6.1,7.8
3,1,HVAC,68,6.9,4.4,4.6,6.5
3,2,HVAC,71,7.8,6.1,3.6,6.5
3,3,HVAC,74,7.3,5.0,2.6,4.6
4,1,HVAC,75,7.6,6.2,4.4,6.0
4,2,HVAC,78,7.8,6.0,5.3,8.0
4,3,HVAC,81,6.1,5.5,7.6,8.7
5,1,HVAC,67,8.2,4.5,6.2,7.3
5,2,HVAC,70,6.9,7.3,7.5,5.4
5,3,HVAC,73,8.5,6.1,2.3,4.4
6,1,HVAC,76,8.0,6.5,4.9,6.0
6,2,HVAC,79,7.5,4.8,6.2,10.0
6,3,HVAC,82,7.6,4.3,7.6,10.0
7,1,HVAC,66,8.2,4.9,7.1,8.7
7,2,HVAC,69,8.1,7.0,4.9,7.1
7,3,HVAC,72,8.6,5.8,3.3,5.1
8,1,HVAC,76,8.4,7.0,6.2,0.9
8,2,HVAC,79,3.1,6.2,10.0,3.0
8,3,HVAC,82,2.4,5.2,2.2,9.7
9,1,HVAC,66,3.0,4.3,2.9,2.9
9,2,HVAC,69,9.3,3.1,0.5,10.0
9,3,HVAC,72,8.5,2.1,0.0,7.3
10,1,HVAC,73,7.9,5.8,3.7,5.6
10,2,HVAC,76,7.0,7.3,4.9,7.4
10,3,HVAC,79,6.7,4.9,6.5,7.9
11,1,HVAC,68,8.2,5.7,6.0,7.2
11,2,HVAC,71,7.5,7.0,3.9,5.9
11,3,HVAC,74,8.2,5.2,2.6,5.6
12,1,HVAC,78,3.4,1.8,6.3,2.9
12,2,HVAC,81,10.0,7.4,1.9,3.8
12,3,HVAC,84,8.9,2.3,4.7,5.8
13,1,HVAC,65,6.5,2.5,6.6,8.5
13,2,HVAC,68,5.8,6.4,4.9,6.9
13,3,HVAC,71,6.6,5.4,1.9,6.0
14,1,HVAC,76,7.4,6.9,5.1,6.8
14,2,HVAC,79,8.3,5.4,4.5,7.5
14,3,HVAC,82,6.3,4.4,8.7,8.4
15,1,HVAC,66,8.1,4.2,7.7,8.0
15,2,HVAC,69,6.3,5.9,4.6,6.7
15,3,HVAC,72,7.8,5.3,3.7,4.9
16,1,HVAC,75,6.9,6.7,4.9,6.4
16,2,HVAC,78,7.3,5.2,6.3,7.2
16,3,HVAC,81,6.6,4.1,7.0,7.9
17,1,HVAC,66,6.9,3.6,6.3,7.6
17,2,HVAC,69,7.8,6.6,4.9,5.8
17,3,HVAC,72,7.8,6.4,4.3,4.9
18,1,HVAC,78,8.6,6.4,6.1,5.7
18,2,HVAC,81,7.1,4.4,7.6,10.0
18,3,HVAC,84,3.9,0.5,7.8,7.4
19,1,HVAC,65,6.3,2.1,7.5,8.4
19,2,HVAC,68,8.5,6.8,5.2,6.4
19,3,HVAC,71,6.7,9.1,2.5,5.9
20,1,HVAC,71,7.2,3.9,4.6,3.8
20,2,HVAC,75,8.0,6.4,4.7,5.8
20,3,HVAC,79,6.8,5.8,7.1,8.2
21,1,HVAC,68,7.2,6.2,5.6,7.2
21,2,HVAC,71,6.9,7.2,3.5,5.9
21,3,HVAC,74,7.4,4.5,2.1,4.5
22,1,HVAC,75,6.6,6.8,5.3,6.2
22,2,HVAC,78,8.2,6.5,6.3,6.1
22,3,HVAC,81,7.0,5.6,6.3,9.5
23,1,HVAC,66,7.3,4.3,6.5,8.1
23,2,HVAC,69,6.8,7.0,4.4,6.1
23,3,HVAC,72,8.0,6.7,4.5,4.6
24,1,HVAC,76,8.2,7.2,4.8,6.2
24,2,HVAC,79,7.9,6.0,6.6,7.6
24,3,HVAC,82,6.5,3.7,7.9,10.0
25,1,HVAC,66,7.3,4.1,6.4,7.1
25,2,HVAC,69,7.9,7.6,5.0,7.0
25,3,HVAC,72,6.5,6.2,2.8,4.2
26,1,HVAC,73,7.4,5.3,4.2,5.1
26,2,HVAC,76,6.6,5.2,5.0,7.1
26,3,HVAC,79,7.6,5.9,6.6,7.7
27,1,HVAC,67,7.6,4.7,6.3,7.5
27,2,HVAC,70,6.7,7.3,4.1,5.9
27,3,HVAC,73,6.7,4.4,2.6,5.2
28,1,HVAC,78,7.9,6.4,5.1,6.4
28,2,HVAC,81,6.3,4.7,6.8,7.9
28,3,HVAC,84,5.4,2.0,8.0,9.5
29,1,HVAC,65,5.6,3.0,6.5,8.0
29,2,HVAC,68,7.3,5.7,4.1,6.1
29,3,HVAC,71,8.0,6.9,2.8,5.9
30,1,HVAC,74,7.1,5.0,4.5,5.2
30,2,HVAC,77,5.4,5.5,6.0,6.0
30,3,HVAC,80,6.9,5.2,6.5,8.4
31,1,HVAC,67,7.5,4.8,6.2,8.0
31,2,HVAC,70,7.8,6.3,7.1,6.2
31,3,HVAC,73,7.9,5.2,2.5,5.2
32,1,HVAC,75,6.9,7.3,5.1,6.3
32,2,HVAC,78,6.8,5.5,5.2,7.5
32,3,HVAC,81,6.6,4.3,6.8,8.7
33,1,HVAC,66,7.2,4.3,7.1,7.8
33,2,HVAC,69,6.0,7.0,4.0,5.8
33,3,HVAC,72,7.8,6.0,2.6,4.9
34,1,HVAC,78,9.0,6.5,6.0,6.4
34,2,HVAC,81,6.5,4.0,7.6,7.7
34,3,HVAC,84,5.5,1.3,8.7,9.7
35,1,HVAC,65,6.6,3.1,6.3,7.5
35,2,HVAC,68,6.3,6.4,4.6,7.0
35,3,HVAC,71,7.5,5.4,3.4,4.5
36,1,HVAC,76,7.0,7.3,4.5,6.7
36,2,HVAC,79,7.5,5.5,6.0,7.2
36,3,HVAC,82,5.8,4.6,7.1,8.5
37,1,HVAC,66,7.0,5.0,6.3,7.8
37,2,HVAC,69,7.8,6.0,4.2,5.9
37,3,HVAC,72,6.3,6.8,3.4,5.7
38,1,HVAC,74,7.4,6.9,3.7,5.2
38,2,HVAC,77,7.0,6.1,5.7,9.6
38,3,HVAC,80,7.0,5.5,6.0,7.4
39,1,HVAC,67,6.7,5.4,6.4,6.5
39,2,HVAC,70,7.3,6.7,4.1,5.5
39,3,HVAC,73,7.7,5.0,3.4,4.4
40,1,HVAC,75,6.5,7.8,4.1,5.1
40,2,HVAC,78,7.5,6.2,5.4,7.6
40,3,HVAC,81,6.8,4.2,7.8,9.9
41,1,HVAC,67,8.0,5.3,5.3,6.6
41,2,HVAC,70,6.0,8.6,4.1,6.4
41,3,HVAC,73,6.9,5.1,2.0,4.2
42,1,HVAC,76,7.4,6.5,4.2,6.1
42,2,HVAC,79,7.4,5.6,5.3,7.5
42,3,HVAC,82,6.2,4.3,7.2,7.6
43,1,HVAC,66,8.0,2.4,2.8,3.5
43,2,HVAC,69,3.2,6.7,9.2,5.9
43,3,HVAC,72,2.3,5.9,2.8,3.3
44,1,HVAC,76,6.5,7.7,5.2,5.7
44,2,HVAC,79,7.4,6.3,6.2,8.0
44,3,HVAC,82,6.0,4.0,7.7,9.1
45,1,HVAC,66,7.2,5.9,6.6,7.7
45,2,HVAC,69,6.9,6.2,4.7,5.6
45,3,HVAC,72,6.9,6.9,2.4,4.8
46,1,HVAC,78,3.1,8.7,9.6,7.4
46,2,HVAC,80,8.1,5.3,6.4,10.0
46,3,HVAC,82,10.0,4.2,4.7,8.7
47,1,HVAC,76,7.1,6.5,4.8,5.9
47,2,HVAC,78,6.5,5.1,6.3,6.4
47,3,HVAC,80,6.2,5.4,6.9,8.1
48,1,HVAC,79,7.8,9.1,10.0,2.1
48,2,HVAC,81,2.1,9.7,10.0,8.1
48,3,HVAC,83,4.2,1.9,4.9,4.6
49,1,HVAC,72,8.5,5.3,4.9,4.4
49,2,HVAC,75,6.7,5.8,5.0,6.9
49,3,HVAC,78,6.9,6.9,5.8,7.6
50,1,HVAC,77,7.5,6.8,5.7,6.4
50,2,HVAC,79,6.5,4.9,6.2,8.8
50,3,HVAC,81,7.7,3.9,7.2,8.6
51,1,HVAC,78,3.8,2.4,10.0,5.9
51,2,HVAC,80,6.6,3.8,2.7,9.4
51,3,HVAC,82,5.0,8.2,3.1,9.6
52,1,HVAC,65,5.5,2.9,7.4,9.0
52,2,HVAC,68,6.8,6.1,5.1,7.2
52,3,HVAC,71,7.4,6.5,3.6,4.8
53,1,HVAC,73,7.2,5.2,4.0,5.7
53,2,HVAC,76,8.0,6.9,5.3,6.0
53,3,HVAC,79,7.8,6.3,6.5,7.3
54,1,HVAC,79,2.8,2.3,5.7,6.2
54,2,HVAC,81,2.7,7.2,2.1,3.5
54,3,HVAC,83,4.2,1.5,8.4,2.2
55,1,HVAC,76,6.9,6.6,5.4,6.9
55,2,HVAC,77,7.6,6.3,4.7,6.6
55,3,HVAC,78,7.1,5.7,6.0,6.3
56,1,HVAC,82,7.1,3.7,7.6,9.0
56,2,HVAC,76,8.1,6.0,4.9,5.9
56,3,HVAC,70,7.3,4.1,2.5,3.0
57,1,HVAC,65,7.2,1.7,6.9,7.8
57,2,HVAC,72,6.4,6.5,2.6,6.4
57,3,HVAC,79,7.3,2.7,0.5,2.0
58,1,HVAC,78,10.0,9.9,5.5,6.1
58,2,HVAC,80,2.0,5.9,7.9,2.4
58,3,HVAC,82,10.0,4.9,3.3,8.3
59,1,HVAC,66,7.6,2.2,2.5,6.5
59,2,HVAC,69,2.4,4.1,8.2,8.3
59,3,HVAC,72,7.7,3.4,0.0,0.0
60,1,HVAC,68,7.2,5.9,6.0,7.0
60,2,HVAC,70,6.9,6.8,4.4,6.9
60,3,HVAC,72,7.6,5.9,2.8,4.7
61,1,Appliance,Dry at 2:00 PM,8.8,6.8,3.0,3.6
61,2,Appliance,Dry at 2:00 AM,0.1,0.0,6.5,7.4
61,3,Appliance,Dry at 9:00 PM,4.4,5.3,4.3,4.6
62,1,Appliance,Run dishwasher at 7:00 PM,8.3,6.6,5.0,5.4
62,2,Appliance,Run dishwasher at 5:00 PM,7.4,6.0,2.1,2.8
62,3,Appliance,Run dishwasher at 4:00 PM,6.4,4.7,2.2,4.1
63,1,Appliance,Run dishwasher at 8:00 PM,8.3,9.3,3.8,5.6
63,2,Appliance,Run dishwasher at 5:00 PM,6.4,6.8,2.5,3.9
63,3,Appliance,Run dishwasher at 1:00 AM,5.1,3.8,6.7,7.6
64,1,Appliance,Run dishwasher at 2:00 PM,7.7,7.5,2.6,3.3
64,2,Appliance,Run dishwasher at 10:00 PM,4.2,3.1,4.8,8.4
64,3,Appliance,Run dishwasher at 1:00 AM,3.5,1.7,6.9,7.4
65,1,Appliance,Run dishwasher at 1:00 AM,7.8,6.6,6.4,8.3
65,2,Appliance,Run dishwasher at 3:00 PM,3.7,4.2,2.2,4.0
65,3,Appliance,Run dishwasher at 11:00 PM,7.8,6.6,6.5,8.5
66,1,Appliance,Wash at 1:00 AM,6.5,5.3,5.9,6.2
66,2,Appliance,Wash at 7:00 PM,5.2,3.9,4.0,6.6
66,3,Appliance,Wash at 3:00 PM,2.5,3.4,3.9,3.5
67,1,Appliance,Wash at 5:00 PM,8.5,6.7,1.3,4.7
67,2,Appliance,Wash at 2:00 PM,7.1,6.6,3.9,4.6
67,3,Appliance,Wash at 10:00 PM,6.2,5.6,7.6,8.8
