Description,Location,Utility Budget,Appliance,Housing Type,Occupants,Peak Rate,Off-Peak Rate,kwh/cycle,Appliance Age/Type,Baseline Time,Alternative 1,Alternative 2,Alternative 3
It's late (around 2 AM) and I need to run the dishwasher. Should I do it now or wait?,"Philadelphia, PA",200,dishwasher,Apartment,3,0.19,0.09,1.4,7,2:00 AM,2:00 AM,3:00 PM,7:00 PM
It's late (around midnight) and I need to run the dishwasher. Should I do it now or wait?,"Lancaster, PA",200,dishwasher,Single-family,4,0.19,0.1,1.4,2,12:00 AM,12:00 AM,7:00 PM,2:00 PM
It's late (around 10 PM) and I need to run the dishwasher. Should I do it now or wait?,"Pittsburgh, PA",120,dishwasher,Apartment,2,0.17,0.08,0.95,10,10:00 PM,10:00 PM,3:00 PM,2:00 PM
I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",200,dishwasher,Townhouse,3,0.17,0.09,1.1,7,2:00 PM,2:00 PM,9:00 PM,4:00 PM
Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Allentown, PA",150,dishwasher,Single-family,2,0.19,0.08,1.25,2,5:00 PM,5:00 PM,7:00 PM,4:00 PM
Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Erie, PA",175,dishwasher,Townhouse,2,0.19,0.08,1.25,10,5:00 PM,5:00 PM,11:00 PM,4:00 PM
I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Scranton, PA",150,dishwasher,Apartment,2,0.17,0.08,1.25,7,8:00 PM,8:00 PM,3:00 PM,4:00 PM
I just finished dinner around 8 PM. When should I run my dishwasher?,"Bethlehem, PA",150,dishwasher,Townhouse,4,0.17,0.09,1.55,2,8:00 PM,8:00 PM,4:00 PM,5:00 PM
Planning to clean up from lunch around 2 PM. When's the best time for the dishwasher?,"Reading, PA",120,dishwasher,Townhouse,4,0.17,0.09,1.55,10,2:00 PM,2:00 PM,3:00 PM,7:00 PM
I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"York, PA",200,dishwasher,Townhouse,4,0.18,0.08,1.4,7,2:00 PM,2:00 PM,3:00 PM,11:00 PM
Planning to clean up from lunch around 2 PM. When's the best time for the dishwasher?,"Philadelphia, PA",175,dishwasher,Townhouse,3,0.18,0.09,1.4,6,2:00 PM,2:00 PM,10:00 PM,9:00 PM
Dinner's done around 7 PM. What's the best time to run the dishwasher?,"Lancaster, PA",150,dishwasher,Single-family,3,0.19,0.1,1.7,4,7:00 PM,7:00 PM,5:00 PM,4:00 PM
I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Pittsburgh, PA",120,dishwasher,Single-family,4,0.18,0.1,0.95,6,8:00 PM,8:00 PM,5:00 PM,1:00 AM
I want to run my dishwasher this afternoon (around 2 PM). When should I start it?,"Harrisburg, PA",120,dishwasher,Apartment,3,0.17,0.08,0.95,8,2:00 PM,2:00 PM,10:00 PM,1:00 AM
The dishwasher is full (around 1 AM). Should I run it now or delay it?,"Allentown, PA",120,dishwasher,Townhouse,4,0.19,0.08,1.55,4,1:00 AM,1:00 AM,3:00 PM,11:00 PM
I'm finally getting to laundry (around 1 AM). When should I start the washer?,"Philadelphia, PA",120,washing_machine,Apartment,3,0.18,0.08,0.3,6,1:00 AM,1:00 AM,7:00 PM,3:00 PM
I have time to do laundry this afternoon (around 5 PM). When should I start?,"Lancaster, PA",150,washing_machine,Townhouse,5,0.18,0.09,0.45,8,5:00 PM,5:00 PM,2:00 PM,10:00 PM
Planning to run the washing machine around 11 PM. Is that okay or should I wait?,"Pittsburgh, PA",175,washing_machine,Single-family,5,0.18,0.08,0.22,6,11:00 PM,11:00 PM,3:00 PM,5:00 PM
I have time to do laundry this afternoon (around 5 PM). When should I start?,"Harrisburg, PA",120,washing_machine,Apartment,3,0.17,0.08,0.28,4,5:00 PM,5:00 PM,2:00 PM,9:00 PM
Thinking of washing clothes around 4 PM. Good timing?,"Allentown, PA",120,washing_machine,Single-family,3,0.18,0.09,0.45,8,4:00 PM,4:00 PM,1:00 AM,10:00 PM
